scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_area_km2,farm_capacity_MW,stack_overplant_factor,compressor_outlet_pressure_bar,export_pipeline_diameter_inch,wake_loss_frac,farm_cf,infield_horizontal_cable_length_m,infield_horizontal_pipeline_length_m,num_export_pipelines,yield_el_MWh_year,yield_h2_MWh_year,yield_h2_kg_year,stack_sp_expected,stack_eff1,stack_eff2,total_LCOE,total_capex_EUR,total_annual_capex_EUR_per_year,total_annual_opex_EUR_per_year,total_annual_cost_EUR_per_year,turbine_sLCOE,hydrogen_sLCOE,infra_sLCOE,turbine_turbine_cLCOE,turbine_foundation_cLCOE,infra_development_cLCOE,infra_infield_cLCOE,infra_offshore-platform_cLCOE,infra_offshore-substation-converter_cLCOE,infra_export_cLCOE,infra_onshore-substation_cLCOE,hydrogen_stack_cLCOE,hydrogen_bop_cLCOE,hydrogen_electrical-bop_cLCOE,hydrogen_compressor_cLCOE
electricity_nt66_tc15_A50_7c0a53c3,electricity,66,15.0,50.0,990.0,,,,0.121245570478824,0.5847495824698424,85000.00000000001,,,4537172.155684914,,,,,,87.05818912751536,4005273430.0,331402119.63371384,63595872.0,394997991.63371384,30.450187127715427,,56.60800199979994,24.199448436254904,6.25073869146052,1.3972689286082172,1.0311288346054919,16.4771825749285,21.96957676657133,12.437408380100699,3.2954365149857,,,,
electricity_nt66_tc15_A100_cb0d89e6,electricity,66,15.0,100.0,990.0,,,,0.09102643490588402,0.6048583026256029,120208.15280171309,,,4693199.159230285,,,,,,84.50222234707059,4019356691.120685,332567389.03874177,64018369.833620556,396585758.8723623,29.43786029185354,,55.06436205521705,23.394929535851197,6.0429307560023435,1.3508162474666083,1.3351609559590953,15.929393031631612,21.23919070884215,12.023922504991264,3.1858786063263222,,,,
electricity_nt66_tc15_A150_a2384293,electricity,66,15.0,150.0,990.0,,,,0.07597080125588018,0.6148767733096776,147224.31864335458,,,4770934.18904995,,,,,,83.38075516493804,4030163157.4573417,333461531.7014859,64342563.82372025,397804095.5252061,28.958215665258923,,54.42253949967912,23.01374516544585,5.944470499813072,1.3288067757118502,1.568773039453419,15.669848088596122,20.893130784794828,11.828011193403677,3.133969617719224,,,,
electricity_nt66_tc15_A200_4effeb7a,electricity,66,15.0,200.0,990.0,,,,0.0662868865746602,0.6213207409032208,170000.00000000003,,,4820934.037214131,,,,,,82.72903088000409,4039273430.0,334215328.83515066,64615872.0,398831200.83515066,28.657878349877347,,54.071152530126746,22.775060347300858,5.882818002576486,1.3150251855651571,1.7655537646914703,15.5073297842307,20.676439712307598,11.70533812648568,3.10146595684614,,,,
electricity_nt66_tc15_A250_9550f676,electricity,66,15.0,250.0,990.0,,,,0.059058874836072084,0.6261304769389521,190065.77808748212,,,4858253.602839712,,,,,,82.2797925874056,4047299741.234993,334879437.44161767,64856661.33704978,399736098.77866745,28.437737604004585,,53.842054983401,22.600109546305035,5.83762805769955,1.3049235785425628,1.9382512631175424,15.3882073878161,20.517609850421465,11.615421425940106,3.07764147756322,,,,
electricity_nt66_tc15_A300_ee315913,electricity,66,15.0,300.0,990.0,,,,0.05344888001693149,0.6298635359346694,208206.62813657016,,,4887219.046918111,,,,,,81.95953265195445,4054556081.254628,335479837.5154998,65074351.53763884,400554189.0531386,28.26919355259678,,53.690339099357665,22.466163798642672,5.803029753954107,1.2971895910584752,2.094157507258561,15.297004956273838,20.396006608365116,11.546579445146905,3.0594009912547677,,,,
electricity_nt133_tc15_A50_3d1b8e9b,electricity,133,15.0,50.0,1995.0,,,,0.19991492829297763,0.5324006296912341,170000.00000000003,,,8324566.053600817,,,,,,88.00331417321095,7364172215.0,609322265.7706796,123267136.0,732589401.7706796,33.444239574597425,,54.55907459861353,26.578889242312112,6.86535033228532,0.8081751073233275,1.1255390458050318,18.097322004590108,24.129762672786814,6.778811367190227,3.619464400918022,,,,
electricity_nt133_tc15_A100_501c609d,electricity,133,15.0,100.0,1995.0,,,,0.14727933892898015,0.5674259312654437,240416.30560342618,,,8872218.366992882,,,,,,82.92908332658116,7392338737.24137,611652804.5807354,124112131.66724111,735764936.2479765,31.37983872071328,,51.54924460586788,24.938263462056746,6.441575258656539,0.7582891657421226,1.4139821734639912,16.980234952395055,22.640313269860076,6.360378053927624,3.3960469904790114,,,,
electricity_nt133_tc15_A150_33bd84af,electricity,133,15.0,150.0,1995.0,,,,0.12390330405546612,0.5829810467480888,294448.63728670916,,,9115436.686215691,,,,,,80.98368020809889,7413951669.914683,613441089.9062237,124760519.64744051,738201609.5536642,30.542561046164124,,50.44111916193475,24.272860066435648,6.269700979728483,0.7380564744597006,1.6435671083482768,16.527167880866255,22.03622384115501,6.190670280932258,3.3054335761732516,,,,
electricity_nt133_tc15_A200_d5fea3f9,electricity,133,15.0,200.0,1995.0,,,,0.10931753704434866,0.5926868540626541,340000.00000000006,,,9267195.774367934,,,,,,79.87916066487136,7432172215.0,614948684.1735532,125307136.0,740255820.1735532,30.042397746817382,,49.83676291805398,23.875369045395843,6.167028701421541,0.725970102239243,1.8383168922258288,16.25651988891635,21.675359851888473,6.08929220500081,3.251303977783271,,,,
