scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_area_km2,farm_capacity_MW,stack_overplant_factor,compressor_outlet_pressure_bar,export_pipeline_diameter_inch,wake_loss_frac,farm_cf,infield_horizontal_cable_length_m,infield_horizontal_pipeline_length_m,num_export_pipelines,yield_el_MWh_year,yield_h2_MWh_year,yield_h2_kg_year,stack_sp_expected,stack_eff1,stack_eff2,total_LCOE,total_capex_EUR,total_annual_capex_EUR_per_year,total_annual_opex_EUR_per_year,total_annual_cost_EUR_per_year,turbine_sLCOE,hydrogen_sLCOE,infra_sLCOE,turbine_turbine_cLCOE,turbine_foundation_cLCOE,infra_development_cLCOE,infra_infield_cLCOE,infra_offshore-platform_cLCOE,infra_offshore-substation-converter_cLCOE,infra_export_cLCOE,infra_onshore-substation_cLCOE,hydrogen_stack_cLCOE,hydrogen_bop_cLCOE,hydrogen_electrical-bop_cLCOE,hydrogen_compressor_cLCOE
electricity_nt66_tc15_A50_7c0a53c3,electricity,66,15.0,50.0,990.0,,,,0.121245570478824,0.5847495824698424,85000.00000000001,,,4537172.155684914,,,,,,89.70536270963004,4150432630.0,343412801.90174925,63595872.0,407008673.90174925,30.450187127715427,,59.25517558191461,24.199448436254904,6.25073869146052,1.3972689286082172,3.6783024167201614,16.4771825749285,21.96957676657133,12.437408380100699,3.2954365149857,,,,
electricity_nt66_tc15_A75_465b9b82,electricity,66,15.0,75.0,990.0,,,,0.1029698016132915,0.5969108278125926,104103.31406828508,,,4631533.341056816,,,,,,88.67804294977013,4192459920.9502273,346890200.77270925,63825111.76881942,410715312.5415287,29.829806026990838,,58.848236922779286,23.706417625152035,6.1233884018388025,1.3688014767563614,4.403666872979219,16.1414824158523,21.52197655446973,12.184013119551212,3.2282964831704595,,,,
electricity_nt66_tc15_A100_cb0d89e6,electricity,66,15.0,100.0,990.0,,,,0.09102643490588402,0.6048583026256029,120208.15280171309,,,4693199.159230285,,,,,,88.1786899345852,4227890566.163769,349821783.6294027,64018369.833620556,413840153.46302325,29.43786029185354,,58.74082964273166,23.394929535851197,6.0429307560023435,1.3508162474666083,5.011628543473697,15.929393031631612,21.23919070884215,12.023922504991264,3.1858786063263222,,,,
electricity_nt66_tc15_A125_98da27c1,electricity,66,15.0,125.0,990.0,,,,0.08248425636905343,0.6105425247074379,134396.80055715612,,,4737304.011853693,,,,,,87.93887674057068,4259105591.2257433,352404559.974327,64188633.60668587,416593193.5810129,29.163790380682137,,58.77508635988854,23.17712001450068,5.986670366181456,1.3382399907250642,5.546110386593937,15.781088525464709,21.041451367286278,11.911978384725609,3.1562177050929416,,,,
electricity_nt66_tc15_A150_a2384293,electricity,66,15.0,150.0,990.0,,,,0.07597080125588018,0.6148767733096776,147224.31864335458,,,4770934.18904995,,,,,,87.84068601492667,4287326131.01538,354739568.2744952,64342563.82372025,419082132.09821546,28.958215665258923,,58.88247034966774,23.01374516544585,5.944470499813072,1.3288067757118502,6.0287038894420455,15.669848088596122,20.893130784794828,11.828011193403677,3.133969617719224,,,,
electricity_nt66_tc15_A175_4b28fbd5,electricity,66,15.0,175.0,990.0,,,,0.0707506472391698,0.6183504205302816,159020.43893789253,,,4797886.812737902,,,,,,87.82427842241287,4313277595.663363,356886830.0138619,64484117.26725471,421370947.2811166,28.795539904040854,,59.02873851837203,22.884463079956067,5.911076824084786,1.3213420666893954,6.471883538865575,15.581821101869794,20.775761469159725,11.761566121413583,3.116364220373959,,,,
electricity_nt66_tc15_A200_4effeb7a,electricity,66,15.0,200.0,990.0,,,,0.0662868865746602,0.6213207409032208,170000.00000000003,,,4820934.037214131,,,,,,87.84632215262167,4337432630.0,358885452.50965154,64615872.0,423501324.50965154,28.657878349877347,,59.18844380274433,22.775060347300858,5.882818002576486,1.3150251855651571,6.882845037309051,15.5073297842307,20.676439712307598,11.70533812648568,3.10146595684614,,,,
electricity_nt66_tc15_A225_a24dbc52,electricity,66,15.0,225.0,990.0,,,,0.06243926651421838,0.6238810628182657,180312.22920256964,,,4840800.0134384595,,,,,,87.89915248851062,4360119534.245653,360762599.7971806,64739618.75043083,425502218.5476114,28.540270365999085,,59.35888212251153,22.68159463789103,5.858675728108051,1.3096285034055333,7.26793832703758,15.443689839605613,20.59158645280748,11.657301031734205,3.0887379679211224,,,,
electricity_nt66_tc15_A250_9550f676,electricity,66,15.0,250.0,990.0,,,,0.059058874836072084,0.6261304769389521,190065.77808748212,,,4858253.602839712,,,,,,87.97291086913452,4381577341.79246,362538049.8452199,64856661.33704978,427394711.1822697,28.437737604004585,,59.53517326512995,22.600109546305035,5.83762805769955,1.3049235785425628,7.6313695448464935,15.3882073878161,20.517609850421465,11.615421425940106,3.07764147756322,,,,
electricity_nt66_tc15_A275_1296256a,electricity,66,15.0,275.0,990.0,,,,0.05609115376159768,0.6281052876493021,199342.66979249578,,,4873576.497351073,,,,,,88.06565726287658,4401986503.54349,364226733.4226202,64967984.03750995,429194717.4601301,28.348327197974278,,59.71733006490232,22.529053086082968,5.8192741118913105,1.3008207997413552,7.976715844070965,15.339825695510541,20.453100927347386,11.578901659129958,3.067965139102108,,,,
