scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_area_km2,farm_capacity_MW,stack_overplant_factor,compressor_outlet_pressure_bar,wake_loss_frac,farm_cf,infield_horizontal_cable_length_m,infield_horizontal_pipeline_length_m,num_export_pipelines,yield_el_MWh_year,yield_h2_MWh_year,yield_h2_kg_year,stack_sp_expected,stack_eff1,stack_eff2,total_LCOE,total_capex_EUR,total_annual_capex_EUR_per_year,total_annual_opex_EUR_per_year,total_annual_cost_EUR_per_year,turbine_LCOE,hydrogen_LCOE,infra_LCOE
electricity_nt50_tc15_A200_9276b7fa,electricity,50,15.0,200,750.0,,,0.053754099213902395,0.6296604339166372,61282.58770283412,,,3701244.8057398256,,,,,,86.4217163923634,3318420785.081134,274570937.8479213,45296991.05243401,319867928.90035534,30.2462452235854,,56.17547116877799
electricity_nt75_tc15_A200_d86ae8fb,electricity,75,15.0,200,1125.0,,,0.07215531677959253,0.6174157112421385,89566.85895029602,,,5443902.549194487,,,,,,82.53674494454232,4640368368.580118,383950793.89840555,65371202.30740355,449321996.2058091,30.84609533747801,,51.690649607064316
electricity_nt100_tc15_A200_4c4fa626,electricity,100,15.0,200,1500.0,,,0.08639459662359783,0.6079404668920301,117851.13019775793,,,7147142.726713154,,,,,,80.98006233288585,5962315952.079103,493330649.9488899,85445413.5623731,578776063.511263,31.326856705550007,,49.65320562733585
electricity_nt125_tc15_A200_d484cb92,electricity,125,15.0,200,1875.0,,,0.10352008261059809,0.5965446543145069,150849.44665313014,,,8766462.382904574,,,,,,80.81283956794505,7286149153.661252,602866524.7682551,105576193.35983756,708442718.1280926,31.92529470189682,,48.887544866048245
electricity_nt150_tc15_A200_209bdb13,electricity,150,15.0,200,2250.0,,,0.11633680565513049,0.5880160219717878,179133.71790059205,,,10369356.8618114,,,,,,86.08890793487447,9208736737.160236,761944203.6055332,130742404.6148071,892686608.2203404,32.38834178015908,,53.70056615471538
electricity_nt175_tc15_A200_6ef27f70,electricity,175,15.0,200,2625.0,,,0.1285518050845479,0.5798877945896361,207417.98914805395,,,11930356.430373067,,,,,,85.67561929026385,10530684320.659222,871324059.6560175,150816615.86977664,1022140675.5257941,32.842325824962565,,52.833293465301296
electricity_nt200_tc15_A200_4b1ee68a,electricity,200,15.0,200,3000.0,,,0.14055492220723298,0.5719005600562623,235702.26039551586,,,13446892.091607463,,,,,,85.64021596856473,11852631904.158207,980703915.706502,170890827.1247462,1151594742.8312483,33.301005842620974,,52.33921012594376
electricity_nt225_tc15_A200_c2522b0b,electricity,225,15.0,200,3375.0,,,0.14836960105665986,0.5667004381099886,268700.5768508881,,,14990201.432273066,,,,,,85.47326086556741,13176465105.740356,1090239790.5258672,191021606.92221066,1281261397.448078,33.6065804984175,,51.866680367149904
electricity_nt250_tc15_A200_26497315,electricity,250,15.0,200,3750.0,,,0.16021636737221745,0.5588172440981931,296984.84809835,,,16424085.988783227,,,,,,85.89308809738179,14498412689.23934,1199619646.5763514,211095818.1771802,1410715464.7535317,34.08066607279805,,51.81242202458374
hydrogen_central_nt50_tc15_A200_88cbe4e3,hydrogen_central,50,15.0,200,750.0,1.0,150.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1.0,,2951507.515439542,74835383.25150968,0.6140240544439066,,,71.09362587557898,2170130948.8449044,179559775.10627133,30273595.96534714,209833371.07161847,37.929348795934516,8.61440110865316,24.549875970991323
hydrogen_central_nt50_tc15_A200_d6d478c0,hydrogen_central,50,15.0,200,750.0,1.2,150.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1.0,,3023408.705466229,76658435.73697336,0.5116243917424496,,,70.03157192330742,2186989816.525478,180954702.21464765,30779361.99576434,211734064.210412,37.02733203900902,9.038196755400344,23.966043128898065
hydrogen_central_nt50_tc15_A200_f63d6614,hydrogen_central,50,15.0,200,750.0,1.4,150.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1.0,,3075990.9295296166,77991656.42823572,0.43839239080828313,,,69.44902874259627,2203758434.589789,182342161.9391741,31282420.537693672,213624582.47686777,36.39437195741269,9.498298820704791,23.556357964478792
hydrogen_central_nt50_tc15_A200_8a70beb5,hydrogen_central,50,15.0,200,750.0,1.6,150.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1.0,,3116564.7031775746,79020403.22458354,0.38319594292846193,,,69.1493992023228,2220469186.23854,183724833.71273854,31783743.087156206,215508576.79989475,35.92056276347743,9.979152786325047,23.249683652520325
hydrogen_central_nt50_tc15_A200_fe3f1065,hydrogen_central,50,15.0,200,750.0,1.8,150.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1.0,,3150051.22061368,79869452.85531643,0.3402300035338893,,,69.01129272878538,2237149210.709554,185104963.0751517,32284143.82128663,217389106.89643833,35.53871038488037,10.470053700141142,23.00252864376387
hydrogen_central_nt50_tc15_A200_a1efc4f7,hydrogen_central,50,15.0,200,750.0,2.0,150.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1.0,,3178563.1268866123,80592371.37136441,0.3058731086552313,,,68.98319581121473,2253809771.064112,186483481.94840276,32783960.631923366,219267442.58032614,35.21992597220548,10.967075288529161,22.79619455048008
hydrogen_central_nt75_tc15_A200_171b7d32,hydrogen_central,75,15.0,200,1125.0,1.0,150.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1.0,,4347487.766941765,110230420.05430442,0.6020589255329686,,,70.61713712970676,3168270833.33066,262147313.55792946,44859826.2499198,307007139.8078493,38.625327095173866,8.410897761029169,23.580912273503724
hydrogen_central_nt75_tc15_A200_a84ab45f,hydrogen_central,75,15.0,200,1125.0,1.2,150.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1.0,,4452359.111099305,112889429.79460712,0.5016379541774306,,,69.59336026465556,3193527665.770936,264237100.42322746,45617531.22312808,309854631.6463555,37.71554199700029,8.852333331631698,23.02548493602358
hydrogen_central_nt75_tc15_A200_cba5e45d,hydrogen_central,75,15.0,200,1125.0,1.4,150.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1.0,,4528807.87627001,114827785.90948303,0.4297843377406564,,,69.0441869177647,3218657961.2419157,266316417.4365741,46371440.087257475,312687857.5238316,37.07888292640415,9.328501891727347,22.636802099633208
