scenario_id,carrier,num_turbines,turbine_capacity_MW,farm_area_km2,farm_capacity_MW,stack_overplant_factor,compressor_outlet_pressure_bar,export_pipeline_diameter_inch,wake_loss_frac,farm_cf,infield_horizontal_cable_length_m,infield_horizontal_pipeline_length_m,num_export_pipelines,yield_el_MWh_year,yield_h2_MWh_year,yield_h2_kg_year,stack_sp_expected,stack_eff1,stack_eff2,total_LCOE,total_capex_EUR,total_annual_capex_EUR_per_year,total_annual_opex_EUR_per_year,total_annual_cost_EUR_per_year,turbine_LCOE,hydrogen_LCOE,infra_LCOE
hydrogen_central_nt50_tc15_A200_f62e500a,hydrogen_central,50,15.0,200,750.0,1.0,150,8.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1,,2951507.515439542,74835383.25150968,0.6140240544439066,,,70.97011381991067,2165976164.8449044,179216002.2657189,30252822.04534714,209468824.31106603,37.929348795934516,8.61440110865316,24.426363915323005
hydrogen_central_nt50_tc15_A200_4090fef3,hydrogen_central,50,15.0,200,750.0,1.1,150,8.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1,,2989999.7728748955,75811353.26761906,0.5579898364352501,,,70.37471294241944,2174416285.380619,179914350.0525515,30506025.66141858,210420375.7139701,37.4410590403789,8.821746829346056,24.111907072694482
hydrogen_central_nt50_tc15_A200_91ed907b,hydrogen_central,50,15.0,200,750.0,1.2,150,8.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1,,3023408.705466229,76658435.73697336,0.5116243917424496,,,69.91099716942338,2182835032.525478,180610929.37409523,30758588.075764343,211369517.44985956,37.02733203900902,9.038196755400344,23.845468375014036
hydrogen_central_nt50_tc15_A200_ba4c8f13,hydrogen_central,50,15.0,200,750.0,1.3,150,8.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1,,3051655.1264858213,77374622.88250054,0.4722574812712995,,,69.57400808849124,2191229114.9848084,181305467.90386605,31010410.549544252,212315878.4534103,36.684603399416474,9.26465232265691,23.624752366417855
hydrogen_central_nt50_tc15_A200_5b6471f0,hydrogen_central,50,15.0,200,750.0,1.4,150,8.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1,,3075990.9295296166,77991656.42823572,0.43839239080828313,,,69.33051514196995,2199603650.589789,181998389.09862167,31261646.61769367,213260035.71631533,36.39437195741269,9.498298820704791,23.437844363852484
hydrogen_central_nt50_tc15_A200_150b1624,hydrogen_central,50,15.0,200,750.0,1.5,150,8.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1,,3097393.1357180197,78534308.71495993,0.4089715983396172,,,69.15576818330217,2207964071.4836802,182690142.42175636,31512459.24451042,214202601.66626677,36.14289601664567,9.736977402259885,23.27589476439662
hydrogen_central_nt50_tc15_A200_a9cce2e4,hydrogen_central,50,15.0,200,750.0,1.6,150,8.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1,,3116564.7031775746,79020403.22458354,0.38319594292846193,,,69.03242850051747,2216314402.23854,183381060.87218612,31762969.167156205,215144030.03934234,35.92056276347743,9.979152786325047,23.13271295071499
hydrogen_central_nt50_tc15_A200_247b158b,hydrogen_central,50,15.0,200,750.0,1.7,150,8.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1,,3134025.45519061,79463120.06061384,0.36044781034871026,,,68.94794786280983,2224657329.086156,184071366.71261632,32013256.972584687,216084623.68520102,35.720436744225424,10.223678602950832,23.00383251563358
hydrogen_central_nt50_tc15_A200_2772d8be,hydrogen_central,50,15.0,200,750.0,1.8,150,8.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1,,3150051.22061368,79869452.85531643,0.3402300035338893,,,68.89556548023562,2232994426.709554,184761190.2345993,32263369.90128663,217024560.13588592,35.53871038488037,10.470053700141142,22.886801395214114
hydrogen_central_nt50_tc15_A200_347c2bd3,hydrogen_central,50,15.0,200,750.0,1.9,150,8.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1,,3165028.538595235,80249202.29703943,0.3221618143669919,,,68.86634952636649,2241326779.0794525,185450621.1274408,32513340.47238359,217963961.5998244,35.37053668293802,10.71731470611452,22.778498137313964
hydrogen_central_nt50_tc15_A200_e2caef9a,hydrogen_central,50,15.0,200,750.0,2.0,150,8.0,0.053754099213902395,0.6296604339166372,61282.58770283412,,1,,3178563.1268866123,80592371.37136441,0.3058731086552313,,,68.86850664318506,2249654987.064112,186139709.10785034,32763186.71192337,218902895.8197737,35.21992597220548,10.967075288529161,22.681505382450407
hydrogen_central_nt75_tc15_A200_491e2dae,hydrogen_central,75,15.0,200,1125.0,1.0,150,8.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1,,4347487.766941765,110230420.05430442,0.6020589255329686,,,70.53328484993166,3164116049.33066,261803540.71737704,44839052.3299198,306642593.0472968,38.625327095173866,8.410897761029169,23.497059993728627
hydrogen_central_nt75_tc15_A200_1d5285f1,hydrogen_central,75,15.0,200,1125.0,1.1,150,8.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1,,4402903.951168705,111635495.71928766,0.5471022080059739,,,69.96921771343963,3176756938.0192013,262849466.14011067,45218278.99057604,308067745.1306867,38.13917789322187,8.628720414938337,23.20131940527943
hydrogen_central_nt75_tc15_A200_706ce510,hydrogen_central,75,15.0,200,1125.0,1.2,150,8.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1,,4452359.111099305,112889429.79460712,0.5016379541774306,,,69.51148305047407,3189372881.770936,263893327.58267504,45596757.30312808,309490084.8858031,37.71554199700029,8.852333331631698,22.943607721842085
hydrogen_central_nt75_tc15_A200_005e9142,hydrogen_central,75,15.0,200,1125.0,1.3,150,8.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1,,4493176.082890382,113924342.8724742,0.46302868185432366,,,69.1956056371946,3201949936.9783545,264933971.33080706,45974068.95935064,310908040.2901577,37.37292595316466,9.087496598100536,22.735183085929407
hydrogen_central_nt75_tc15_A200_71eab3a7,hydrogen_central,75,15.0,200,1125.0,1.4,150,8.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1,,4528807.87627001,114827785.90948303,0.4297843377406564,,,68.96369183594359,3214503177.2419157,265972644.59602168,46350666.16725747,312323310.76327914,37.07888292640415,9.328501891727347,22.556307017812102
hydrogen_central_nt75_tc15_A200_71de115d,hydrogen_central,75,15.0,200,1125.0,1.5,150,8.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1,,4560512.268314277,115631649.80512872,0.40099806342480915,,,68.79402282093221,3227033389.817669,267009412.51702365,46726572.544530064,313735985.0615537,36.82111288398373,9.57341293491733,22.399497002031158
hydrogen_central_nt75_tc15_A200_75892524,hydrogen_central,75,15.0,200,1125.0,1.6,150,8.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1,,4588515.252403692,116341664.6146981,0.3756914746933341,,,68.68177879553443,3239552339.5053296,268045248.53036636,47102141.035159886,315147389.56552625,36.596399445861316,9.822582941113927,22.262796408559183
hydrogen_central_nt75_tc15_A200_b0b688b1,hydrogen_central,75,15.0,200,1125.0,1.7,150,8.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1,,4613253.888174071,116968911.97195922,0.35335181821930345,,,68.61909862417642,3252058245.7333345,269080005.3089819,47477318.22200003,316557323.5309819,36.400150763620076,10.075535995950677,22.14341186460567
hydrogen_central_nt75_tc15_A200_0a54455f,hydrogen_central,75,15.0,200,1125.0,1.8,150,8.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1,,4637390.983955644,117580907.30110659,0.33359425571436163,,,68.56578546851655,3264556149.9627376,270114099.99065346,47852255.348882124,317966355.3395356,36.21069209419045,10.326935465006065,22.02815790932004
hydrogen_central_nt75_tc15_A200_552f1ac3,hydrogen_central,75,15.0,200,1125.0,1.9,150,8.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1,,4658791.217545638,118123509.57265817,0.31582617651181455,,,68.55316689340286,3277049661.0414724,271147831.1766814,48227060.68124418,319374891.8579256,36.0443576883144,10.581837999100669,21.92697120598778
hydrogen_central_nt75_tc15_A200_6bdd152e,hydrogen_central,75,15.0,200,1125.0,2.0,150,8.0,0.07215531677959253,0.6174157112421385,89566.85895029602,,1,,4678005.589522267,118610689.38950981,0.29983708224289807,,,68.57249872926293,3289535224.436919,272180904.75989294,48601627.58310756,320782532.34300053,35.89630961889072,10.839280426331019,21.836908684041177
hydrogen_central_nt100_tc15_A200_dd78b420,hydrogen_central,100,15.0,200,1500.0,1.0,150,8.0,0.08639459662359783,0.6079404668920301,117851.13019775793,,2,,5714018.220446498,144878758.12491122,0.5927761800184312,,,71.64275489652505,4227912137.8880415,349823568.50508547,59544438.33664124,409368006.8417267,39.18389956347766,8.304360804950583,24.15449452809681
hydrogen_central_nt100_tc15_A200_9b091e78,hydrogen_central,100,15.0,200,1500.0,1.1,150,8.0,0.08639459662359783,0.6079404668920301,117851.13019775793,,2,,5787833.389147949,146750339.48143888,0.5387250023575672,,,71.05714179672972,4244755020.7464046,351217173.0061405,60049724.82239215,411266897.82853264,38.684167459564314,8.52653430349009,23.846440033675325
hydrogen_central_nt100_tc15_A200_1bad07f2,hydrogen_central,100,15.0,200,1500.0,1.2,150,8.0,0.08639459662359783,0.6079404668920301,117851.13019775793,,2,,5851244.84306359,148358134.9661154,0.49391923625380313,,,70.61087099620828,4261559816.1519566,352607626.0962334,60553868.68455869,413161494.7807921,38.26493713030625,8.757923871270457,23.588009994631573
